IP,Date,Time,Accepted cookies,Device type,Browser language,Browser name,OS Name,Country,Region,RegionName,City,Zipcode,Lat,Lon
49.36.83.154,2023-08-28,23:00:00 UTC,["necessary"],mobile,pt,Chrome,iOS,India,GJ,Gujarat,Surat,395007,21.1888,72.8293
49.36.83.154,2023-08-29,01:05:12 UTC,["necessary"],desktop,pt,Chrome,Windows,India,GJ,Gujarat,Surat,395007,21.1888,72.8293
49.36.83.154,2023-08-29,02:10:32 UTC,["necessary"],mobile,en,Chrome,Android,India,GJ,Gujarat,Surat,395007,21.1888,72.8293
49.36.83.154,2023-08-29,03:09:28 UTC,["necessary"],desktop,pt,Chrome,Windows,India,GJ,Gujarat,Surat,395007,21.1888,72.8293
49.36.83.154,2023-08-29,03:19:01 UTC,["necessary"],mobile,pt,Chrome,Android,India,GJ,Gujarat,Surat,395007,21.1888,72.8293
49.36.83.154,2023-08-29,04:32:16 UTC,["necessary"],desktop,en,Chrome,Windows,India,GJ,Gujarat,Surat,395007,21.1888,72.8293
49.36.83.154,2023-08-29,08:26:10 UTC,["necessary"],desktop,en,Firefox,Windows,India,GJ,Gujarat,Surat,395007,21.1888,72.8293
49.36.83.154,2023-08-29,10:12:23 UTC,["necessary"],desktop,en,Chrome,OS X,India,GJ,Gujarat,Surat,395007,21.1888,72.8293
49.36.83.154,2023-08-29,10:23:39 UTC,["necessary"],desktop,en,Chrome,OS X,India,GJ,Gujarat,Surat,395007,21.1888,72.8293
49.36.83.154,2023-08-29,10:24:29 UTC,["necessary"],desktop,en,Chrome,Windows,India,GJ,Gujarat,Surat,395007,21.1888,72.8293
49.36.83.154,2023-08-29,11:32:16 UTC,["necessary"],desktop,en,Chrome,Windows,India,GJ,Gujarat,Surat,395007,21.1888,72.8293
49.36.83.154,2023-08-29,12:52:32 UTC,["necessary"],mobile,en,Chrome,Android,India,GJ,Gujarat,Surat,395007,21.1888,72.8293
49.36.83.154,2023-08-29,13:17:15 UTC,["necessary"],desktop,en,Chrome,Windows,India,GJ,Gujarat,Surat,395007,21.1888,72.8293
49.36.83.154,2023-08-29,14:20:46 UTC,["necessary"],desktop,it,Chrome,Windows,India,GJ,Gujarat,Surat,395007,21.1888,72.8293
